dataset_id,source_doi,relative_path,sheet_index,raw_rows,raw_cols,empty_rows_removed,analytic_rows,analytic_cols,sha256,license
D1,10.17632/wrwtvtppgd.1,data/raw/D1_BMI_Depression/Data.xlsx,0,4683,35,0,4683,35,3e710f36a304af0cb6110c6eb1e87e5870ab40e2e23821c624b6f6f38c601c8f,CC BY 4.0
D2,10.17632/y7rbxs53g9.1,data/raw/D2_GLP1/Raw_data_GLPI_weight_mgmt.xlsx,0,513,38,0,513,38,b7fbfb8e99af61d09b7753dc32d095420383e8e99648a86b934891142d76ef6b,CC BY 4.0
D3,10.17632/2v8k7kk9vt.1,data/raw/D3_Health_Message/Dataset.xlsx,0,348,67,0,348,67,33407e3cb789f2c35b0e2c5d3dd91d92dd5ad01da70956a2578405efd68e24b7,CC BY 4.0
D4,10.17632/6z2hty8php.1,data/raw/D4_Employee_Attrition/Original_Dataset_of_Employee_Attrition.xlsx,0,1191,35,0,1191,35,9a44efec36c467062d1a19230a31eb0c101b3407f0da0ed8c3e1812bbef79650,CC BY 4.0
D5,10.5281/zenodo.21839927,data/raw/D5_Driving_Employment/Employment_Transition_Dataset.xlsx,0,953,43,52,901,43,0097e68aa976e9ecb5e0ecd2c6e67be3261195b9befe741c072961aca29ee2c2,CC BY 4.0
