dataset_id,relative_path,file_type,size_bytes,sha256,repository_url,license,retrieval_date,integrity_verified_on,project_handling
D1,data/raw/D1_BMI_Depression/Data.xlsx,xlsx,764774,3e710f36a304af0cb6110c6eb1e87e5870ab40e2e23821c624b6f6f38c601c8f,https://data.mendeley.com/datasets/wrwtvtppgd/1,CC BY 4.0,not_recorded,2026-08-10,immutable input; never overwritten
D2,data/raw/D2_GLP1/Raw_data_GLPI_weight_mgmt.xlsx,xlsx,285165,b7fbfb8e99af61d09b7753dc32d095420383e8e99648a86b934891142d76ef6b,https://data.mendeley.com/datasets/y7rbxs53g9/1,CC BY 4.0,not_recorded,2026-08-10,immutable input; never overwritten
D3,data/raw/D3_Health_Message/Dataset.xlsx,xlsx,101719,33407e3cb789f2c35b0e2c5d3dd91d92dd5ad01da70956a2578405efd68e24b7,https://data.mendeley.com/datasets/2v8k7kk9vt/1,CC BY 4.0,not_recorded,2026-08-10,immutable input; never overwritten
D4,data/raw/D4_Employee_Attrition/Dataset_Keys.docx,docx,28784,a3300779851dcfdb3ac6eec8d482abb93276875282a6506c6fd41709b144bbd9,https://data.mendeley.com/datasets/6z2hty8php/1,CC BY 4.0,not_recorded,2026-08-10,immutable input; never overwritten
D4,data/raw/D4_Employee_Attrition/Online_Survey_Questions.docx,docx,30622,af18a12c28c5d069a91abe8d20fe183970f9d4d7f66e633c17afa4c98941e173,https://data.mendeley.com/datasets/6z2hty8php/1,CC BY 4.0,not_recorded,2026-08-10,immutable input; never overwritten
D4,data/raw/D4_Employee_Attrition/Original_Dataset_of_Employee_Attrition.xlsx,xlsx,191255,9a44efec36c467062d1a19230a31eb0c101b3407f0da0ed8c3e1812bbef79650,https://data.mendeley.com/datasets/6z2hty8php/1,CC BY 4.0,not_recorded,2026-08-10,immutable input; never overwritten
D5,data/raw/D5_Driving_Employment/Employment_Transition_Dataset.xlsx,xlsx,134115,0097e68aa976e9ecb5e0ecd2c6e67be3261195b9befe741c072961aca29ee2c2,https://zenodo.org/records/21839927,CC BY 4.0,not_recorded,2026-08-10,immutable input; never overwritten
