dataset_id,short_name,domain,rows,columns,structural_identifier_columns,free_text_columns,sensitive_columns_configured,missing_cell_rate,exact_duplicate_records_involved,maximum_structural_identifier_uniqueness,maximum_free_text_nonempty_rate,item_pattern_unique_rate,singleton_rate_core,records_below_k5_rate_core,singleton_rate_extended,records_below_k5_rate_extended,homogeneous_sensitive_rate_extended,minimum_k_extended,median_k_extended
D1,BMI_Depression,health,4683,35,0,0,4,0.0,6,0.0,0.0,0.7849669015588298,0.11509715994020926,0.28315182575272263,0.9205637411915438,0.9985052316890882,0.003416613282084134,1,1.0
D2,GLP1,health,513,38,2,1,3,0.017954242330973633,0,1.0,1.0,0.12280701754385964,0.13840155945419103,0.2962962962962963,0.47173489278752434,0.7621832358674464,0.23196881091617932,1,1.0
D3,Health_Message,health,348,67,1,0,2,0.0,0,1.0,0.0,0.8419540229885057,0.13505747126436782,0.35919540229885055,0.3649425287356322,0.7040229885057471,0.15804597701149425,1,1.0
D4,Employee_Attrition,employment,1191,35,1,0,4,0.0,0,1.0,0.0,0.24853064651553317,0.35516372795969775,0.6515533165407221,0.81696053736356,0.9857262804366079,0.10663308144416457,1,1.0
D5,Driving_Employment,employment,901,43,0,0,2,0.16335854218826626,6,0.0,0.0,0.5405105438401776,0.0011098779134295228,0.011098779134295227,0.013318534961154272,0.05549389567147614,0.0022197558268590455,1,7.0
