dataset_id,raw_deposit_decision,cleaned,post_cleanup_decision,decision_changed,raw_flags,post_cleanup_flags
D1,remediate_before_release,no (unchanged),remediate_before_release,no,high_linkability; high_small_group_exposure,high_linkability; high_small_group_exposure
D2,restricted_review,yes,remediate_before_release,yes,free_text_present; high_linkability; high_small_group_exposure; structural_identifier_present,high_linkability; high_small_group_exposure
D3,restricted_review,yes,remediate_before_release,yes,high_linkability; high_small_group_exposure; structural_identifier_present,high_linkability; high_small_group_exposure
D4,restricted_review,yes,remediate_before_release,yes,high_linkability; high_small_group_exposure; structural_identifier_present,high_linkability; high_small_group_exposure
D5,public_candidate_after_documented_review,no (unchanged),public_candidate_after_documented_review,no,medium_linkability,medium_linkability
